Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
196,256,7.60156,0.55871,2.96094,0.74023,0.29123,0.29123
197,256,7.76562,0.57044,3.05078,0.76270,0.25392,0.25392
198,256,7.75000,0.56848,2.99609,0.74902,0.27906,0.27906
199,256,7.82812,0.57636,2.95312,0.73828,0.25928,0.25928
200,256,7.71484,0.56671,2.89844,0.72461,0.25976,0.25976
201,256,7.81641,0.57335,3.15234,0.78809,0.26957,0.26957
202,256,7.44922,0.54846,2.81641,0.70410,0.32378,0.32378
203,256,7.82812,0.57537,3.05078,0.76270,0.26610,0.26610
204,256,7.48047,0.54824,2.95703,0.73926,0.31544,0.31544
205,256,7.72656,0.56774,3.12500,0.78125,0.26508,0.26508
206,256,7.66016,0.56367,3.15234,0.78809,0.26467,0.26467
207,256,7.51562,0.55240,2.87500,0.71875,0.27680,0.27680
208,256,7.66797,0.56343,2.98438,0.74609,0.26890,0.26890
209,256,7.61328,0.56022,3.04297,0.76074,0.30724,0.30724
210,256,7.47266,0.54924,2.80859,0.70215,0.32532,0.32532
211,256,7.62891,0.56040,3.20703,0.80176,0.27309,0.27309
212,256,7.54297,0.55330,3.18359,0.79590,0.27673,0.27673
213,256,7.50391,0.55249,3.25781,0.81445,0.29615,0.29615
214,256,7.53516,0.55352,3.17969,0.79492,0.26943,0.26943
215,256,7.48438,0.55073,3.25391,0.81348,0.27385,0.27385
216,256,7.37500,0.54206,2.96484,0.74121,0.31466,0.31466
217,256,7.55078,0.55466,2.93359,0.73340,0.26269,0.26269
218,256,7.55078,0.55387,2.93750,0.73438,0.27002,0.27002
219,256,7.48438,0.55105,2.86719,0.71680,0.29844,0.29844
220,256,7.52734,0.55326,2.80078,0.70020,0.31631,0.31631
221,256,7.68750,0.56568,3.28906,0.82227,0.26103,0.26103
222,256,7.55469,0.55527,2.94922,0.73730,0.26409,0.26409
223,256,7.48047,0.54950,2.90234,0.72559,0.26206,0.26206
224,256,7.40625,0.54327,2.75391,0.68848,0.33505,0.33505
225,256,7.54297,0.55536,3.03516,0.75879,0.28423,0.28423
226,256,7.49609,0.55096,2.87109,0.71777,0.28601,0.28601
227,256,7.42188,0.54441,2.80078,0.70020,0.35591,0.35591
228,256,7.46875,0.54990,3.00781,0.75195,0.30659,0.30659
229,256,7.46094,0.54838,2.96094,0.74023,0.28955,0.28955
